,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1524296,Esil,51.9556,66.4042,271.49,98,97,4.22,KZ,2021-02-13 04:52:05
986717,Kruisfontein,-34.0033,24.7314,296.48,93,100,1.14,ZA,2021-02-13 04:52:39
1640972,Katobu,-4.9408,122.5276,304.39,58,100,3.52,ID,2021-02-13 04:52:39
4224413,Statesboro,32.4488,-81.7832,281.15,93,90,2.06,US,2021-02-13 04:52:39
3380290,Sinnamary,5.3833,-52.95,298.52,87,90,5.98,GF,2021-02-13 04:52:39
1282256,Hithadhoo,-0.6,73.0833,301.23,73,92,5.28,MV,2021-02-13 04:52:40
4030556,Rikitea,-23.1203,-134.9692,299.53,77,8,5.63,PF,2021-02-13 04:52:40
2075265,Busselton,-33.65,115.3333,301.07,36,0,2.25,AU,2021-02-13 04:52:40
3874787,Punta Arenas,-53.15,-70.9167,285.15,62,90,5.14,CL,2021-02-13 04:52:40
107304,Buraidah,26.326,43.975,284.15,87,0,3.63,SA,2021-02-13 04:52:40
546105,Nikolskoye,59.7035,30.7861,257.15,78,75,1.0,RU,2021-02-13 04:52:40
5855927,Hilo,19.7297,-155.09,297.15,69,20,2.06,US,2021-02-13 04:52:40
6201424,Mataura,-46.1927,168.8643,292.59,71,66,1.79,NZ,2021-02-13 04:52:41
4020109,Atuona,-9.8,-139.0333,299.35,79,1,6.97,PF,2021-02-13 04:52:41
4032243,Vaini,-21.2,-175.2,303.15,74,75,3.6,TO,2021-02-13 04:52:41
1637001,Biak,-0.9131,122.8766,296.93,89,100,1.31,ID,2021-02-13 04:52:41
2163355,Hobart,-42.8794,147.3294,293.71,59,40,5.66,AU,2021-02-13 04:52:41
3833367,Ushuaia,-54.8,-68.3,286.15,47,75,5.14,AR,2021-02-13 04:48:22
3139597,Sistranda,63.7256,8.834,274.15,75,75,13.89,NO,2021-02-13 04:52:41
964432,Port Alfred,-33.5906,26.891,297.59,94,87,1.34,ZA,2021-02-13 04:52:42
3428068,San Vicente,-26.6167,-54.1333,289.95,100,42,0.61,AR,2021-02-13 04:52:42
5850554,Makakilo City,21.3469,-158.0858,298.15,64,20,1.54,US,2021-02-13 04:52:42
3831208,Qaanaaq,77.484,-69.3632,254.23,69,0,2.49,GL,2021-02-13 04:52:42
2017155,Saskylakh,71.9167,114.0833,240.75,81,86,0.75,RU,2021-02-13 04:52:42
2122605,Okhotsk,59.3833,143.3,264.68,93,100,1.74,RU,2021-02-13 04:52:42
2110227,Butaritari,3.0707,172.7902,300.69,82,0,5.02,KI,2021-02-13 04:48:30
1735106,George Town,5.4112,100.3354,306.15,46,20,3.09,MY,2021-02-13 04:52:42
964420,Port Elizabeth,-33.918,25.5701,296.15,100,90,3.6,ZA,2021-02-13 04:52:43
2126199,Cherskiy,68.75,161.3,242.57,81,0,0.4,RU,2021-02-13 04:52:43
6185377,Yellowknife,62.456,-114.3525,245.37,76,20,2.06,CA,2021-02-13 04:51:01
1701054,Marawi,7.9986,124.2928,302.04,80,73,2.24,PH,2021-02-13 04:52:23
5335650,Ceres,37.5949,-120.9577,283.15,81,1,1.06,US,2021-02-13 04:52:43
3887344,Illapel,-31.6308,-71.1653,290.77,71,0,0.6,CL,2021-02-13 04:52:43
3652764,Puerto Ayora,-0.7393,-90.3518,297.59,95,95,3.8,EC,2021-02-13 04:52:43
1006984,East London,-33.0153,27.9116,294.15,94,0,2.06,ZA,2021-02-13 04:52:44
2652513,Colwyn Bay,53.2948,-3.7267,270.93,76,100,6.26,GB,2021-02-13 04:52:44
3460629,Itaqui,-29.1253,-56.5531,293.37,83,0,2.26,BR,2021-02-13 04:52:44
933995,Souillac,-20.5167,57.5167,301.15,69,75,6.17,MU,2021-02-13 04:49:21
1228730,Ratnapura,6.6828,80.3992,305.32,47,13,1.04,LK,2021-02-13 04:52:44
3522526,Nuevo Progreso,23.1667,-97.95,282.59,70,86,1.79,MX,2021-02-13 04:52:44
2257990,Madingou,-4.1536,13.55,295.78,95,60,0.97,CG,2021-02-13 04:52:44
2630299,Hofn,64.2539,-15.2082,277.26,82,100,8.32,IS,2021-02-13 04:52:44
5380437,Pacific Grove,36.6177,-121.9166,285.15,82,75,6.21,US,2021-02-13 04:52:45
5815342,Wenatchee,47.4235,-120.3103,265.93,86,90,2.57,US,2021-02-13 04:52:45
2171099,Codrington,-38.2667,141.9667,291.97,56,0,5.48,AU,2021-02-13 04:52:45
3405215,Bonfim,3.0833,-59.95,298.43,73,96,5.46,BR,2021-02-13 04:52:45
3414079,Olafsvik,64.8945,-23.7142,277.64,74,100,11.8,IS,2021-02-13 04:52:45
2514651,Los Llanos de Aridane,28.6585,-17.9182,290.15,63,0,5.14,ES,2021-02-13 04:52:45
779622,Havøysund,70.9963,24.6622,269.15,68,75,4.12,NO,2021-02-13 04:52:45
2316259,Bulungu,-4.55,18.6,294.5,92,89,0.7,CD,2021-02-13 04:52:46
2112802,Hasaki,35.7333,140.8333,290.93,47,40,4.12,JP,2021-02-13 04:52:46
2121385,Severo-Kuril'sk,50.6789,156.125,271.22,94,99,4.25,RU,2021-02-13 04:52:46
5197850,Lewistown,40.5992,-77.5714,268.15,68,90,1.2,US,2021-02-13 04:50:22
3366880,Hermanus,-34.4187,19.2345,295.93,79,0,3.13,ZA,2021-02-13 04:52:46
5282297,Bethel,41.3712,-73.414,271.15,36,90,1.54,US,2021-02-13 04:52:46
2206939,Bluff,-46.6,168.3333,292.59,71,50,1.79,NZ,2021-02-13 04:52:46
1508501,Chadan,51.2833,91.5833,252.15,86,32,1.03,RU,2021-02-13 04:52:46
2514301,Mahon,39.8885,4.2658,284.15,82,40,9.26,ES,2021-02-13 04:52:47
3393692,Itarema,-2.9248,-39.9167,298.69,87,3,3.84,BR,2021-02-13 04:52:47
5110365,Broome,42.2506,-75.833,261.15,56,75,3.09,US,2021-02-13 04:52:47
